Fecha,Producto,Monto
2023-01-04,A,200
Not a date,B,200
2023-01-03,D,100
Not a date,B,400
Not a date,C,
2023-01-02,B,not a number
2023-01-03,,200
2023-01-03,F,100
2023-01-03,F,400
Not a date,B,100
2023-01-04,E,100
2023-01-03,C,400
,A,400
Not a date,B,400
2023-01-02,A,100
2023-01-04,C,200
,B,300
,E,300
2023-01-02,D,100
2023-01-04,E,100
Not a date,,200
2023-01-01,E,400
2023-01-04,D,100
2023-01-02,,
,D,500
Not a date,F,400
2023-01-04,D,
2023-01-01,B,100
2023-01-01,A,500
2023-01-03,F,
2023-01-03,F,not a number
2023-01-02,A,200
2023-01-04,F,500
2023-01-04,D,100
,E,300
,C,
,D,100
2023-01-03,,300
2023-01-04,,200
2023-01-04,E,200
2023-01-01,E,400
2023-01-03,F,
Not a date,B,400
2023-01-03,B,300
Not a date,F,300
2023-01-01,F,200
2023-01-02,A,500
2023-01-04,A,300
2023-01-01,C,300
2023-01-04,C,
,C,500
2023-01-02,C,400
2023-01-02,E,400
2023-01-01,E,300
2023-01-02,A,
Not a date,B,400
2023-01-02,F,400
2023-01-04,,not a number
2023-01-04,B,
2023-01-04,D,400
2023-01-04,E,200
Not a date,C,100
2023-01-03,C,300
,D,300
2023-01-01,B,200
2023-01-04,C,100
2023-01-02,B,100
2023-01-04,F,200
2023-01-02,D,500
,,500
,B,100
,F,500
2023-01-02,B,500
2023-01-04,B,500
,C,100
Not a date,A,500
2023-01-02,E,300
2023-01-02,B,not a number
2023-01-04,B,100
2023-01-02,B,200
2023-01-02,A,500
,F,400
2023-01-04,,100
,,
,D,200
2023-01-04,C,not a number
2023-01-01,A,300
,F,
Not a date,B,200
Not a date,F,500
2023-01-02,A,400
Not a date,A,500
2023-01-02,A,200
2023-01-01,D,100
2023-01-04,E,
2023-01-04,C,400
2023-01-04,D,
Not a date,D,
2023-01-01,E,400
Not a date,D,200
Not a date,A,not a number
2023-01-01,A,not a number
2023-01-01,F,500
2023-01-01,B,200
2023-01-01,D,400
2023-01-04,B,200
2023-01-03,C,400
2023-01-03,,
2023-01-01,A,500
2023-01-03,F,100
2023-01-03,C,
2023-01-01,F,100
2023-01-03,,200
Not a date,,400
2023-01-02,E,100
2023-01-02,A,
2023-01-01,C,400
2023-01-04,E,500
2023-01-01,,
2023-01-04,C,200
2023-01-02,F,400
2023-01-01,E,200
,E,400
Not a date,A,
2023-01-03,B,not a number
2023-01-04,F,not a number
,F,400
2023-01-03,E,500
2023-01-03,E,200
2023-01-01,A,300
2023-01-03,B,400
Not a date,F,400
,,not a number
2023-01-03,D,100
2023-01-01,D,
Not a date,B,not a number
2023-01-02,C,200
,A,not a number
2023-01-03,B,300
2023-01-01,D,500
2023-01-02,E,
2023-01-02,D,300
2023-01-04,E,500
Not a date,A,300
2023-01-03,E,
2023-01-01,B,not a number
2023-01-04,E,300
Not a date,C,not a number
2023-01-04,B,
,A,not a number
Not a date,B,200
Not a date,C,not a number
2023-01-03,A,100
Not a date,D,300
2023-01-04,C,
Not a date,A,400
2023-01-03,,400
2023-01-03,E,400
,B,
2023-01-04,A,100
2023-01-02,B,not a number
2023-01-02,E,300
Not a date,A,500
,D,500
2023-01-01,,
Not a date,,200
,C,100
2023-01-04,A,300
